Rk,Player,Ht.,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
1,Christian Koloko,7-01,TOR,2,33,2022,Arizona,2021-22,Arizona,37,37,25.4,4.9,7.8,4.9,7.7,0,0.1,2.7,3.7,2.6,4.7,7.3,1.4,0.8,2.8,1.6,2.8,12.6,0.635,0.642,0,0.735,0.661,0.635,C,JR,christian-koloko-1
2,Walker Kessler,7-01,MEM,1,22,2022,Auburn,2021-22,Auburn,34,34,25.6,4.8,7.9,4.5,6.4,0.3,1.5,1.6,2.6,2.6,5.4,8.1,0.9,1.1,4.6,1.1,2.6,11.4,0.608,0.702,0.2,0.596,0.627,0.627,F,SO,walker-kessler-1
3,Chet Holmgren,7-01,OKC,1,2,2022,Gonzaga,2021-22,Gonzaga,32,31,26.9,5.3,8.8,4,5.5,1.3,3.3,2.2,3.1,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,0.607,0.737,0.39,0.717,0.691,0.68,C,FR,chet-holmgren-1
4,Mark Williams,7-01,CHA,1,15,2022,Duke,2021-22,Duke,39,39,23.6,4.9,6.8,4.9,6.8,0,0,1.4,2,2.6,4.8,7.4,0.9,0.5,2.8,0.9,2.1,11.2,0.721,0.723,0,0.727,0.726,0.721,C,SO,mark-williams-7
5,Jalen Duren,6-11,CHA,1,13,2022,Memphis,2021-22,Memphis,29,29,25.3,4.9,8.1,4.9,8.1,0,0,2.2,3.6,3,5.2,8.1,1.3,0.8,2.1,2.2,2.7,12,0.597,0.6,0,0.625,0.608,0.597,C,FR,jalen-duren-1
6,Moussa Diabate,6-11,LAC,2,43,2022,Michigan,2021-22,Michigan,32,26,24.9,3.7,6.8,3.6,6.3,0.1,0.4,1.6,2.6,2.4,3.6,6,0.8,0.3,0.9,1.5,2.7,9,0.542,0.564,0.214,0.619,0.565,0.549,F,FR,moussa-diabate-1
7,Isaiah Mobley,6-10,CLE,2,49,2022,Southern California,2021-22,Southern California,32,32,34.1,5,11.3,3.7,7.5,1.3,3.8,2.8,4,2.2,6.1,8.3,3.3,0.8,0.9,1.9,2,14.2,0.445,0.492,0.352,0.682,0.535,0.504,F,JR,isaiah-mobley-1
8,Jabari Smith,6-10,HOU,1,3,2022,Auburn,2021-22,Auburn,34,34,28.8,5.4,12.6,3.1,7,2.3,5.5,3.9,4.8,0.9,6.5,7.4,2,1.1,1,1.9,2.1,16.9,0.429,0.435,0.42,0.799,0.57,0.521,F,FR,jabari-smith-2
9,Jaylin Williams,6-10,OKC,2,34,2022,Arkansas,2021-22,Arkansas,37,35,31.6,3.8,8.3,3.4,6.4,0.5,1.9,2.8,3.8,1.5,8.3,9.8,2.6,1.3,1.1,1.8,2.6,10.9,0.461,0.527,0.239,0.729,0.538,0.489,F,SO,jaylin-williams-2
10,Paolo Banchero,6-10,ORL,1,1,2022,Duke,2021-22,Duke,39,39,33,6.3,13.2,5.2,9.8,1.1,3.3,3.5,4.8,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,0.478,0.525,0.338,0.729,0.557,0.52,F,FR,paolo-banchero-1
11,Jake Laravia,6-09,MIN,1,19,2022,Wake Forest,2021-22,Wake Forest,33,33,34.2,5,9,4.2,6.8,0.8,2.2,3.7,4.8,2.1,4.5,6.6,3.7,1.7,1,2.7,2.8,14.6,0.559,0.616,0.384,0.777,0.649,0.606,G,JR,jake-laravia-1
12,Jeremy Sochan,6-09,SAS,1,9,2022,Baylor,2021-22,Baylor,30,1,25.1,3.3,7,2.5,4.3,0.8,2.7,1.8,3,2,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,0.474,0.585,0.296,0.589,0.546,0.531,F,FR,jeremy-sochan-1
13,Patrick Baldwin Jr.,6-09,GSW,1,28,2022,Milwaukee,2021-22,Milwaukee,11,10,28.5,4.1,11.9,2.5,6.1,1.5,5.8,2.4,3.2,0.9,4.9,5.8,1.5,0.8,0.8,2.1,1.5,12.1,0.344,0.418,0.266,0.743,0.45,0.408,G,FR,patrick-baldwinjr-1
14,Caleb Houstan,6-08,ORL,2,32,2022,Michigan,2021-22,Michigan,34,34,32,3.2,8.4,1.4,3.4,1.8,5,1.9,2.4,0.8,3.2,4,1.4,0.7,0.2,1.5,1.7,10.1,0.384,0.426,0.355,0.783,0.53,0.489,G,FR,caleb-houstan-1
15,Jabari Walker,6-08,POR,2,57,2022,Colorado,2021-22,Colorado,33,33,28.1,4.8,10.5,3.8,7.4,1.1,3.2,3.8,4.9,2.1,7.3,9.4,1.2,0.7,0.7,2.3,2.5,14.6,0.461,0.51,0.346,0.784,0.57,0.513,F,SO,jabari-walker-1
16,Josh Minott,6-08,CHA,2,45,2022,Memphis,2021-22,Memphis,33,5,14.6,2.5,4.8,2.5,4.4,0.1,0.4,1.5,2,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,0.522,0.559,0.143,0.754,0.571,0.528,G,FR,josh-minott-1
17,Keegan Murray,6-08,SAC,1,4,2022,Iowa,2021-22,Iowa,35,35,31.9,8.8,15.8,6.9,11.1,1.9,4.7,4.1,5.4,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,23.5,0.554,0.621,0.398,0.747,0.638,0.614,F,SO,keegan-murray-1
18,Kendall Brown,6-08,MIN,2,48,2022,Baylor,2021-22,Baylor,34,34,27,3.9,6.6,3.5,5.4,0.4,1.2,1.5,2.2,1.7,3.1,4.9,1.9,1,0.4,1.7,2.3,9.7,0.584,0.638,0.341,0.689,0.63,0.615,G,FR,kendall-brown-1
19,Peyton Watson,6-08,OKC,1,30,2022,UCLA,2021-22,UCLA,32,0,12.7,1.2,3.7,1,2.7,0.2,1,0.7,1,0.9,2,2.9,0.8,0.6,0.6,0.9,1.6,3.3,0.322,0.356,0.226,0.688,0.394,0.352,G,FR,peyton-watson-1
20,Tari Eason,6-08,HOU,1,17,2022,Louisiana State,2021-22,Louisiana State,33,4,24.4,5.8,11.1,4.9,8.7,0.8,2.4,4.6,5.7,2.3,4.3,6.6,1,1.9,1.1,2.2,2.8,16.9,0.521,0.564,0.359,0.803,0.615,0.559,F,SO,tari-eason-1
21,Bennedict Mathurin,6-07,IND,1,6,2022,Arizona,2021-22,Arizona,37,37,32.5,5.9,13.1,3.6,7,2.2,6.1,3.7,4.8,1.4,4.2,5.6,2.5,1,0.3,1.8,1.8,17.7,0.45,0.521,0.369,0.764,0.576,0.536,G,SO,bennedict-mathurin-1
22,Bryce McGowens,6-07,MIN,2,40,2022,Nebraska,2021-22,Nebraska,31,31,33.3,5.2,12.8,3.9,8.1,1.3,4.7,5.2,6.3,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2,16.8,0.403,0.478,0.274,0.831,0.533,0.453,G,FR,bryce-mcgowens-1
23,Dalen Terry,6-07,CHI,1,18,2022,Arizona,2021-22,Arizona,37,37,27.8,3.1,6.2,2.4,4.1,0.8,2.1,1.1,1.4,1.2,3.7,4.8,3.9,1.2,0.3,1.4,2.3,8,0.502,0.572,0.364,0.736,0.584,0.563,G,SO,dalen-terry-1
24,E.J. Liddell,6-07,NOH,2,41,2022,Ohio State,2021-22,Ohio State,32,32,33.2,6.3,12.9,4.9,9.1,1.4,3.8,5.3,6.9,2.3,5.7,7.9,2.5,0.6,2.6,2.4,2.5,19.4,0.49,0.54,0.374,0.765,0.598,0.546,F,JR,ej-liddell-1
25,AJ Griffin,6-06,ATL,1,16,2022,Duke,2021-22,Duke,39,25,24,3.7,7.6,1.9,3.5,1.8,4.1,1.1,1.4,0.8,3.2,3.9,1,0.5,0.6,0.6,1.1,10.4,0.493,0.547,0.447,0.792,0.63,0.613,F,FR,aj-griffin-1
26,Christian Braun,6-06,DEN,1,21,2022,Kansas,2021-22,Kansas,40,39,34.4,5.2,10.5,3.9,7.2,1.3,3.3,2.5,3.4,1.4,5.1,6.5,2.8,1,0.8,2,1.8,14.1,0.495,0.545,0.386,0.733,0.585,0.556,G,JR,christian-braun-1
27,Jalen Williams,6-06,OKC,1,12,2022,Santa Clara,2021-22,Santa Clara,33,33,34.8,6.6,12.9,5.4,9.7,1.3,3.2,3.5,4.3,0.6,3.8,4.4,4.2,1.2,0.5,2.1,2.6,18,0.513,0.551,0.396,0.809,0.601,0.562,G,JR,jalen-williams-13
28,Max Christie,6-06,LAL,2,35,2022,Michigan State,2021-22,Michigan State,35,35,30.8,3.2,8.4,2.1,4.9,1.1,3.5,1.7,2.1,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.1,9.3,0.382,0.429,0.317,0.824,0.494,0.449,G,FR,max-christie-1
29,Tyrese Martin,6-06,GSW,2,51,2022,Connecticut,2021-22,Connecticut,29,29,32.1,5,11.1,3.5,7.6,1.5,3.4,2.1,3.1,2.3,5.2,7.5,1.9,0.8,0.5,1.8,2.1,13.6,0.449,0.457,0.43,0.689,0.54,0.516,G,SR,tyrese-martin-1
30,Vince Williams Jr.,6-06,MEM,2,47,2022,VCU,2021-22,VCU,30,29,32.4,4.6,9.6,2.4,4,2.2,5.6,2.8,3.4,0.9,5.1,6,3,1.6,1.1,2.9,2.9,14.1,0.477,0.605,0.387,0.814,0.629,0.591,G,SR,vince-williams-2
31,Andrew Nembhard,6-05,IND,2,31,2022,Gonzaga,2021-22,Gonzaga,32,32,32.2,4.4,9.7,2.8,5.5,1.6,4.2,1.5,1.7,0.4,2.9,3.4,5.8,1.6,0.1,1.9,2,11.8,0.452,0.503,0.383,0.873,0.564,0.534,G,SR,andrew-nembhard-1
32,Blake Wesley,6-05,SAS,1,25,2022,Notre Dame,2021-22,Notre Dame,35,28,29.3,5.1,12.6,3.5,7.5,1.5,5.1,2.7,4.1,0.7,3,3.7,2.4,1.3,0.1,2.2,1.9,14.4,0.404,0.471,0.303,0.657,0.495,0.465,G,FR,blake-wesley-1
33,David Roddy,6-05,PHI,1,23,2022,Colorado State,2021-22,Colorado State,31,31,32.9,7.2,12.5,5.7,9.2,1.5,3.4,3.4,4.9,1.8,5.7,7.5,2.9,1.2,1.1,2.3,2.3,19.2,0.571,0.62,0.438,0.691,0.645,0.63,G,JR,david-roddy-1
34,Johnny Davis,6-05,WAS,1,10,2022,Wisconsin,2021-22,Wisconsin,31,31,34.2,6.8,15.9,5.6,12,1.2,3.9,5,6.3,1.3,6.9,8.2,2.1,1.2,0.7,2.3,2,19.7,0.427,0.466,0.306,0.791,0.523,0.464,G,SO,jonathan-davis-3
35,Malaki Branham,6-05,SAS,1,20,2022,Ohio State,2021-22,Ohio State,32,31,29.6,5,10,3.8,7.3,1.2,2.8,2.5,3,0.8,2.8,3.6,2,0.7,0.3,1.7,1.8,13.7,0.498,0.53,0.416,0.833,0.596,0.556,G,FR,malaki-branham-1
36,Ochai Agbaji,6-05,CLE,1,14,2022,Kansas,2021-22,Kansas,39,39,35.1,6.6,13.9,4,7.4,2.6,6.5,2.9,3.9,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.7,18.8,0.475,0.534,0.407,0.743,0.595,0.57,G,SR,ochai-agbaji-1
37,Wendell Moore Jr.,6-05,DAL,1,26,2022,Duke,2021-22,Duke,39,39,33.9,4.8,9.6,3.5,6.4,1.3,3.2,2.4,3,1.2,4.1,5.3,4.4,1.4,0.2,1.9,1.6,13.4,0.5,0.544,0.413,0.805,0.605,0.569,F,JR,wendell-moorejr-1
38,Jaden Ivey,6-04,DET,1,5,2022,Purdue,2021-22,Purdue,36,34,31.4,5.6,12.3,3.9,7.3,1.8,5,4.3,5.8,0.7,4.2,4.9,3.1,0.9,0.6,2.6,1.8,17.3,0.46,0.531,0.358,0.744,0.579,0.533,G,SO,jaden-ivey-1
39,Ryan Rollins,6-04,ATL,2,44,2022,Toledo,2021-22,Toledo,34,34,32.7,6.8,14.6,5.4,10.1,1.4,4.4,3.8,4.8,0.7,5.3,6,3.6,1.7,0.3,2.2,2.4,18.9,0.468,0.536,0.311,0.802,0.559,0.515,G,SO,ryan-rollins-1
40,Trevor Keels,6-04,NYK,2,42,2022,Duke,2021-22,Duke,36,26,30.2,4.1,9.8,2.6,4.9,1.5,4.8,1.8,2.7,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,0.419,0.522,0.312,0.67,0.52,0.496,G,FR,trevor-keels-1
41,JD Davison,6-03,BOS,2,53,2022,Alabama,2021-22,Alabama,33,5,25.8,3,6.5,2.2,4,0.8,2.5,1.8,2.5,1.1,3.7,4.8,4.3,1,0.4,2.9,1.2,8.5,0.463,0.565,0.301,0.728,0.558,0.521,G,FR,jd-davison-1
42,TyTy Washington Jr.,6-03,MEM,1,29,2022,Kentucky,2021-22,Kentucky,31,29,29.2,4.9,10.9,3.7,7.5,1.2,3.3,1.5,2.1,0.6,2.8,3.5,3.9,1.3,0.2,1.6,1.5,12.5,0.451,0.496,0.35,0.75,0.528,0.504,G,FR,tyty-washingtonjr-1
43,Kennedy Chandler,6-01,SAS,2,38,2022,Tennessee,2021-22,Tennessee,34,34,30.8,5.4,11.5,3.9,7.8,1.4,3.8,1.8,2.9,0.7,2.6,3.2,4.7,2.2,0.2,2.5,2,13.9,0.464,0.504,0.383,0.606,0.539,0.527,G,FR,kennedy-chandler-1